,name,title,link,abstract,date
0,Mohamed Abdelshafy,Cross-Layer Multipath Multichannel MAC protocol for MANETs,https://pureportal.coventry.ac.uk/en/publications/cross-layer-multipath-multichannel-mac-protocol-for-manets,"Utilising multiple disjoint paths in multiple channels can improve network performance by enabling a node to reroute data along discovered paths seamlessly when link failure is detected. However, depending on a stale/invalid route to recover from a broken link could increase the delay to recover fromthe broken link and degrade the network performance. In this paper, we propose a new MAC protocol (RIVC-MB) to enhance communication reliability in the multipath multichannel routing protocol. The reliability of transmitting/re-routing the data packet in multipath multichannel routing protocol is improved by providing early route invalidity detection and early switchover. Waiting time to access the medium is also improved, when a node is attempting to access a busy medium, by re-routing the data packet via the alternative route. The RIVC-MB protocol uses the cross-layer interaction between MAC and routing protocols to achieve these goals. The proposed protocol is implemented and extensively evaluated using the NS-2 simulator. Simulation results show that the new proposed protocol improves the endto- end delay, and reduces both the number of route error control packets and the number of dropped data packets in the routing layer. It also reduces reduces the collision rate in the MAC layer in a dense network.",Jun 2018
1,Mohamed Abdelshafy,Performance evaluation of Receiver Directed Transmission protocol with a single transceiver in MANETs,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-receiver-directed-transmission-protocol,"Utilising multiple channels can increase the wireless ad hoc network capacity. Receiver Directed Transmission protocol (RDT) is designed to provide multichannel access using a single radio interface. RDT introduces a clever approach to support channel assignment and negotiation without relying on a control channel or time synchronisation. Protocols based on the RDT scheme normally use an extra radio interface, dual home channel or time synchronisation to overcome the expected issues in RDT, such as, hidden terminal and deafness problems. This paper demonstrates that using RDT with a single radio and single home channel it is still possible to increase the network capacity. Additionally, the paper investigates the effect of node density, mobility and number of available channels on RDT performance. NS-2 simulator is used to evaluate the proposed scheme. Simulation results confirm that using multichannel RDT scheme can effectively increase the throughput, the packet delivery ratio and reduce the delay compared to single channel protocol.",4 May 2017
2,Mohamed Abdelshafy,Reliable Multipath Multi-channel Route Migration over Multi Link-Failure in Wireless Ad Hoc Networks,https://pureportal.coventry.ac.uk/en/publications/reliable-multipath-multi-channel-route-migration-over-multi-link-,"The route recovery algorithm is a crucial part of an ad hoc routing protocol. Designing an efficient and fast route recovery mechanism scheme without incurring extra overheads or delays to repair the broken link is a desirable goal for any routing protocol. The route recovery algorithm in reactive routing protocols like AODV occurs only after a link failure is detected. However, we propose a new route discovery mechanism called Route Migration over Multiple link failure in Multi-Channel (RMMMC), which combines multiple paths and channels to provide a disjointed alternative route. When link failure is detected, the RMMMC reroutes the data packet through the alternative route in alternative channels that have been previously discovered. Furthermore, the RMMMC is resilient to multiple link failures. Unlike other route recovery approaches, nodes in RMMMC are considered to be equipped with a single transceiver. The RMMMC scheme is implemented and extensively evaluated by using an ns-2 simulator. Simulation results show that the proposed scheme achieves a better packet delivery ratio, throughput and reduces the routing overhead and end-to-end delay in a dense network.",23 Nov 2017
3,Mohamed Abdelshafy,Resisting blackhole attacks on MANETs,https://pureportal.coventry.ac.uk/en/publications/resisting-blackhole-attacks-on-manets,"MANET routing protocols are designed based on the assumption that all nodes cooperate without maliciously disrupting the operation of the routing protocol. AODV is a reactive MANET routing protocol that is vulnerable to a dramatic collapse of network performance in the presence of blackhole attack. The paper introduces a new concept of Self-Protocol Trustiness (SPT) in which detecting a malicious intruder is accomplished by complying with the normal protocol behavior and lures the malicious node to give an implicit avowal of its malicious behavior. We present a Blackhole Resisting Mechanism (BRM) to resist such attacks that can be incorporated into any reactive routing protocol. It does not require expensive cryptography or authentication mechanisms, but relies on locally applied timers and thresholds to classify nodes as malicious. No modifications to the packet formats are needed, so the overhead is a small amount of calculation at nodes, and no extra communication. Using NS2 simulation, we compare the performance of networks using AODV under blackhole attacks with and without our mechanism to SAODV, showing that it significantly reduces the effect of a blackhole attack.",Jan 2016
4,Mohamed Abdelshafy,Dynamic Source Routing under Attacks,https://pureportal.coventry.ac.uk/en/publications/dynamic-source-routing-under-attacks,"MANET routing protocols are designed based on the assumption that all nodes cooperate without maliciously disrupting the operation of the routing protocol. A large number of attack types of varying severity are threatening MANET. Dynamic Source Routing (DSR) is a well-known reactive MANET routing protocol that does not support security of routing messages. In this paper, we study the performance of both DSR and its flow-state extension routing protocols in the presence of blackhole, grayhole, selfish and flooding attacks. We conclude that the performance of flow-state DSR is better than DSR in the presence of all attacks. Flooding attacks are found to dramatically impact all the standard performance metrics. Blackhole attacks significantly worse the packet delivery ratio in a static network using unmodified DSR. All the attacks greatly increase the end-to-end delay; an effect particularly marked in a static network.",12 Oct 2015
5,Mohamed Abdelshafy,AODV & SAODV under Attack: Performance Comparison,https://pureportal.coventry.ac.uk/en/publications/aodv-amp-saodv-under-attack-performance-comparison,"AODV is a reactive MANET routing protocol that does not support security of routing messages. SAODV is an extension of the AODV routing protocol that is designed to fulfil security features of the routing messages. In this paper, we study the performance of both AODV and SAODV routing protocols under the presence of blackhole, grayhole, selfish and flooding attacks. We conclude that the performance of SAODV is better than AODV in the presence of blackhole, grayhole and selfish attacks while its performance is worse than AODV in the presence of flooding attack. The blackhole and flooding attacks have a severe impact on the AODV and SAODV performance while the grayhole and selfish attacks have less significant effect on it.",Jun 2014
6,Mohamed Abdelshafy,AODV Routing Protocol Performance Analysis under MANET Attacks,https://pureportal.coventry.ac.uk/en/publications/aodv-routing-protocol-performance-analysis-under-manet-attacks,"AODV is a well-known reactive protocol designed for MANET routing. All MANET routing protocols are designed based on the assumption that all nodes cooperate without maliciously disrupting the operation of the routing protocol. In this paper, we study the performance of AODV routing protocol in the presence of some of the well-deﬁned attacks in MANET. We use NS-2 network simulator to analyse the impacts of blackhole, grayhole, selﬁsh and ﬂooding attacks on AODV protocol performance. While the blackhole and ﬂooding attacks have a severe impact on the AODV performance, the selﬁsh and grayhole attacks have less signiﬁcant effect on it.",Jun 2014
7,Mohamed Abdelshafy,Resisting flooding attacks on AODV,https://pureportal.coventry.ac.uk/en/publications/resisting-flooding-attacks-on-aodv,"AODV is a reactive MANET routing protocol that is vulnerable to a dramatic collapse of throughput when malicious intruders flood the network with bogus route requests. We introduce a simple mechanism to resist such attacks that canbe incorporated into any reactive routing protocol. It does not require expensive cryptography or authentication mechanisms, but relies on locally applied timers and thresholds to classify nodes as malicious. No modifications to the packet formats are needed, so the overhead is a small amount of calculation at nodes,and no extra communication. Using NS2 simulation, we compare the performance of networks using AODV under flooding attacks with and without our mechanism, showing that it significantly reduces the effect of a flooding attack.",Nov 2014
8,Mohamed Abdelshafy,Analysis of security attacks on AODV routing,https://pureportal.coventry.ac.uk/en/publications/analysis-of-security-attacks-on-aodv-routing,"MANET routing protocols have many vulnerabilities that may be exploited by malicious nodes to disrupt the normal routing behavior. In this paper, we present a vulnerability analysis of AODV. We simulate four routing attacks to analyse their impacts on AODV protocol using NS-2 network simulator. These attacks are blackhole, grayhole, selfish and flooding attacks. The blackhole and flooding attacks have a severe impact on the network performance while the selfish and grayhole attacks have less significant effect on the network performance.",Dec 2013
9,Mohamed Abdelshafy,Analysis and Evaluations of Wireless LANs Security Protocols,https://pureportal.coventry.ac.uk/en/publications/analysis-and-evaluations-of-wireless-lans-security-protocols,,Nov 2002
